uniqueID,IDALL,Soil_organic_carbon,Profit,"Combined 
 ecological-social outcome"
23,50,1.1538462,1.668202555,Win-Win
24,50,1.2307692,3.031706204,Win-Win
25,50,1.1864407,1.322730924,Win-Win
26,50,1.2711864,2.283148594,Win-Win
27,56,1.0790123,1.802556818,Mix-Win
42,99,1.0892857,1.287423155,Win-Mix
43,99,1.0663265,1.063626177,Mix-Mix
55,128,7.0028011,4.321428571,Win-Win
56,128,5.6022409,5.227678571,Win-Win
69,195,1.350365,2.428571429,Win-Win
70,195,1.24,2.416666667,Win-Mix
71,195,1.065693431,1.666666667,Win-Win
72,195,1.192,1.333333333,Win-Mix
78,200,4,1.26,Mix-Win
89,251,1.1767435,3.0375,Mix-Mix
90,251,0.967051,1.275,Mix-Mix
91,251,1.0480877,0.675,Mix-Mix
92,251,1.1230784,0.4125,Mix-Mix
102,259,1.129423,1.376452363,Win-Win
103,259,1.2392517,1.43609605,Win-Win
156,406,1.152777778,2.419783006,Win-Mix
161,410,1.1923077,1.0390625,Mix-Win
162,410,1.2884615,1.046875,Mix-Win
163,410,0.9807692,1.03125,Mix-Win
175,422,0.882879218,1.141446613,Mix-Mix
176,422,1.138013905,0.930487943,Mix-Lose
202,441,1.028301887,1.583024063,Win-Win
203,441,0.990566038,1.254639052,Mix-Win
253,539,0.954869,0.957265,Mix-Mix
254,539,1.026128266,1.034188034,Win-Mix
255,539,1.057007126,0.965811966,Win-Mix
256,539,1.073634204,0.914529915,Win-Mix
257,539,1.045130641,0.897435897,Win-Mix
260,542,1.428445507,1.171949419,Win-Win
266,560,1.034653,1.481695063,Win-Win
276,570,1.0444444,1.263736264,Mix-Mix
277,574,1.133333333,1.235902299,Win-Win
280,582,1.1375668,3.025184165,Win-Mix
281,582,1.1252909,1.618830638,Win-Mix
282,582,1.0977754,2.762192306,Win-Win
283,582,1.0680463,2.019519854,Win-Win
284,582,1.0900815,6.075752117,Win-Win
285,582,1.0868973,5.734606363,Win-Win
289,583,1,1.82111437,Mix-Win
290,583,1.0547945,0.944281525,Mix-Mix
292,583,0.9242424,1.618357488,Mix-Mix
298,609,0.868946,1.19381839,Mix-Mix
310,626,1.13125,1.344262295,Win-Win
311,626,1.359375,1.389344262,Win-Win
320,673,1.064902998,1.208431857,Win-Mix
323,682,1.059701493,1.157277333,Win-Win
326,708,1.14210288,1.63583815,Mix-Win
327,708,1.246669997,2.779661017,Mix-Win
329,709,0.916666667,4.513385827,Mix-Win
338,726,1.025140285,1.048170587,Mix-Win
339,726,1.013720926,1.074367088,Mix-Win
377,778,1.079207921,1.141935484,Win-Win
381,782,1.318181818,1.24600467,Win-Mix
382,782,1.441558442,1.147166566,Win-Mix
383,782,1.500000,1.113875645,Win-Mix
384,783,1.153846154,1.668202555,Win-Mix
385,783,1.230769231,3.031706204,Win-Mix
386,783,1.186440678,1.322730924,Win-Mix
387,783,1.271186441,2.283148594,Win-Mix
