uniqueID,IDALL,Yieldeqcumul,Recoded aspect of availability of food,Savings_labour_cost,"Combined 
 ecological-social outcome"
126,309,5.894736842,Equivalent yield,1.035830619,Win-Mix
164,412,1.16,Equivalent yield,1.209737828,Win-Mix
175,422,1.047991565,Cumulative grain yield,0.761904762,Mix-Mix
176,422,1.115906433,Cumulative grain yield,0.761904762,Mix-Lose
177,423,0.971259682,Cumulative grain yield,0.8382134,Mix-Mix
178,423,0.960841491,Cumulative grain yield,0.8382134,Mix-Mix
183,435,1.0621062,Cumulative grain yield,0.674033,Win-Mix
184,435,1.229523,Cumulative grain yield,0.770718,Win-Mix
185,435,1.1314131,Cumulative grain yield,0.640884,Win-Mix
186,435,0.8073807,Cumulative grain yield,0.867403,Lose-Lose
187,435,1.0162016,Cumulative grain yield,0.756906,Win-Mix
188,435,1.2718272,Cumulative grain yield,0.939227,Win-Mix
189,435,1.1239872,Cumulative grain yield,0.674033,Win-Mix
190,435,1.2631967,Cumulative grain yield,0.770718,Win-Mix
191,435,1.3007611,Cumulative grain yield,0.640884,Win-Mix
192,435,0.821262,Cumulative grain yield,0.867403,Lose-Mix
193,435,1.057697,Cumulative grain yield,0.756906,Win-Mix
194,435,1.5173091,Cumulative grain yield,0.939227,Win-Mix
195,435,1.4435644,Cumulative grain yield,0.674033,Win-Mix
196,435,1.5168317,Cumulative grain yield,0.770718,Win-Mix
197,435,1.3881188,Cumulative grain yield,0.640884,Win-Mix
198,435,1.0118812,Cumulative grain yield,0.867403,Win-Mix
199,435,1.3782178,Cumulative grain yield,0.756906,Win-Mix
200,435,1.649505,Cumulative grain yield,0.939227,Win-Mix
210,453,1.03190602,Equivalent yield,1.0914426,Win-Win
211,461,1.2224551,Cumulative grain yield,1.342442224,Win-Win
212,461,1.1655689,Cumulative grain yield,1.364915303,Win-Mix
213,461,1.3577236,Cumulative grain yield,1.258714423,Win-Mix
214,461,1.1578853,Cumulative grain yield,0.71689569,Win-Mix
215,461,1.1578853,Cumulative grain yield,0.845104795,Win-Lose
216,461,1.254878,Cumulative grain yield,0.826511033,Win-Lose
218,478,1.62544748,Equivalent yield,0.949238579,Win-Win
220,495,1.474922326,Cumulative grain yield,0.974093264,Win-Mix
221,495,1.250776742,Cumulative grain yield,0.974093264,Win-Mix
222,496,1.50813008,Cumulative grain yield,1.004273504,Win-Win
223,496,1.52032520,Cumulative grain yield,1.14957265,Mix-Win
224,496,1.56097561,Cumulative grain yield,1.316239316,Mix-Win
239,514,1.03344482,Cumulative grain yield,0.616477273,Win-Mix
276,570,1.1596,Cumulative grain yield,1.0279296,Mix-Mix
280,582,2.99312147,Cumulative grain yield,1.1021021,Win-Mix
281,582,1.55517902,Cumulative grain yield,1.039039,Win-Mix
282,582,2.73558914,Cumulative grain yield,1.1021021,Win-Win
283,582,1.82935376,Cumulative grain yield,1.039039,Win-Win
284,582,5.34979461,Cumulative grain yield,1.1021021,Win-Win
285,582,4.2351908,Cumulative grain yield,1.039039,Win-Win
335,715,1.024116369,Cumulative grain yield,0.989449004,Win-Mix
